topic,category,class_level,book_name,chapters,page_range,page_list,occurrences,confidence
Vocabulary Body Parts,Vocabulary Body Parts,6,english_class_6,Reprint 2025-26,8-44,"8, 44",2,0.504
two little eyes open wide page 1,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",8-152,"8, 67, 115, 152",4,0.523
Vocabulary Action Words and Verbs,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",8-160,"8, 16, 24, 26, 29, 41, 42, 43, 44, 45",35,0.561
body parts hand leg head eye ear nose mouth page 2-8,Vocabulary Body Parts,6,english_class_6,Reprint 2025-26,8,8,1,0.55
I eat my food action page 16,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",9-158,"9, 15, 158",3,0.431
will you read with me page 36,Vocabulary Family Members,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",10-131,"10, 35, 69, 131",4,0.419
w is for well phonics page 12,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,12,12,1,0.494
s is for sun phonics page 12,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,12-59,"12, 59",2,0.408
v is for van phonics page 12,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,14-108,"14, 108",2,0.574
I see my teacher action page 16,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",14-158,"14, 16, 25, 26, 59, 66, 132, 133, 158",9,0.466
I clap with my hands action verb page 4,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",14-133,"14, 31, 32, 49, 133",5,0.527
odd one out initial sounds exercise page 14,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,14,14,1,0.757
letter sounds h house hand hut page 18,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,18-37,"18, 37",2,0.549
letter sounds f fox foot fish page 18,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,18-37,"18, 37",2,0.413
Kumar is stretching action page 25,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",25-134,"25, 26, 134",3,0.501
Seema is running present progressive page 25,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,25,25,1,0.551
Vittal is bending action page 25,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,25,25,1,0.382
I have poori with aloo sabzi lunch box page 98,Vocabulary Food and Meals,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",26-124,"26, 28, 32, 66, 88, 97, 102, 124",8,0.534
yawn a little sleep a little page 21,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,28,28,1,0.482
action words hop jump stamp skip tap dance twist shake yawn sleep page 21,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,28,28,1,0.426
I feel with my skin body function page 7,Vocabulary Body Parts,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",28-126,"28, 78, 126",3,0.416
filling action words dance hop skip sleep bend jump eat page 27,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,28-68,"28, 68",2,0.394
naming food items in picture page 101,Vocabulary Food and Meals,6,english_class_6,Reprint 2025-26,29,29,1,0.553
letter sounds q question mark quilt quill page 32,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,32-38,"32, 38",2,0.751
initial sounds c cart cap cat page 13,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,33-127,"33, 108, 125, 127",4,0.504
initial sounds d den door dog page 13,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,33,33,1,0.436
X Y Z sugar on bread rhyme page 10,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,36,36,1,0.609
letter sounds j jacket jackfruit jug page 18,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,37,37,1,0.563
letter sounds g goat gate girl page 18,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,37,37,1,0.523
letter sounds i iron ice inkpot page 18,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,37,37,1,0.514
letter sounds p pencil pot parrot page 32,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,38,38,1,0.814
letter sounds r rainbow rose ring page 32,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,38,38,1,0.776
letter sounds s spoon swan seven page 32,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,38,38,1,0.73
letter sounds t ten tomato table page 32,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,38,38,1,0.679
words beginning with m man mouse mask moon mouth monkey page 41,Vocabulary Family Members,6,english_class_6,Reprint 2025-26,40,40,1,0.406
words beginning with f fox food feather foot flag five page 41,Vocabulary Family Members,6,english_class_6,Reprint 2025-26,41,41,1,0.623
writing family words Mother Sister Brother Father page 42,Vocabulary Family Members,6,english_class_6,Reprint 2025-26,43,43,1,0.48
Vocabulary Food and Meals,Vocabulary Food and Meals,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",43-94,"43, 44, 57, 94",4,0.463
six seven eight nine ten rhyme page 48,Vocabulary Numbers and Counting,6,english_class_6,Reprint 2025-26,47-48,"47, 48",2,0.515
one two three four five numbers with animals page 48,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,48,48,1,0.684
I tap with my feet action page 4,Vocabulary Body Parts,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",49-153,"49, 103, 122, 153",4,0.469
counting down from five to zero page 51,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,51-52,"51, 52",2,0.433
sharing food with friends page 98,Vocabulary Food and Meals,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",52-96,"52, 57, 58, 96",4,0.484
making rhyming words for ten h-en p-en m-en d-en page 52,Vocabulary Numbers and Counting,6,english_class_6,Reprint 2025-26,52-114,"52, 68, 114",3,0.386
cap-seller threw cap monkeys copied page 56,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,54-57,"54, 57",2,0.415
green or purple fruit in bunch riddle grapes page 105,Vocabulary Fruits and Vegetables,6,english_class_6,Reprint 2025-26,54-105,"54, 55, 105",3,0.526
I comb my hair action sentence page 16,Vocabulary Action Words and Verbs,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",54-141,"54, 141",2,0.381
helping animals find homes activity page 74,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,54,54,1,0.351
cap-seller shook fists monkeys copied page 55,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,55,55,1,0.567
pitter patter raindrops I am wet through poem page 113,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,55,55,1,0.56
Good afternoon greeting in afternoon page 15,Vocabulary Greetings and Manners,6,english_class_6,Reprint 2025-26,55,55,1,0.549
I walk to school action page 16,Vocabulary Action Words and Verbs,6,english_class_6,Reprint 2025-26,57-118,"57, 61, 118",3,0.404
goat hen inkpot jug kite lion monkey nest owl animals page 60-61,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,61,61,1,0.448
butterflies up down in out poem page 63,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,63,63,1,0.579
sounds of animals caw like crow chirp like sparrow page 64,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,63-68,"63, 65, 68",3,0.455
roar like lion meow like cat buzz like bee quack like duck page 64,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,63-65,"63, 65",2,0.372
look down what do you see on ground page 64,Vocabulary Animals and Birds,6,english_class_6,Reprint 2025-26,63,63,1,0.382
Alphabet and Phonics,Alphabet and Phonics,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",73-101,"73, 101",2,0.43
one for you to share with me page 86,Vocabulary Fruits and Vegetables,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,76,76,1,0.62
Namaste greeting when I meet someone page 15,Vocabulary Greetings and Manners,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,76,76,1,0.592
we are a family refrain page 36,Vocabulary Family Members,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,76,76,1,0.579
matching food items to shapes page 102,Vocabulary Food and Meals,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,80-98,"80, 98",2,0.496
birds I see crow pigeon sparrow parrot peacock page 80,Vocabulary Animals and Birds,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill",85-144,"85, 88, 89, 144",4,0.491
colourful flowers roses marigolds jasmine page 89,Vocabulary Fruits and Vegetables,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill",85-158,"85, 90, 157, 158",4,0.439
making fruit chaat activity page 87,Vocabulary Fruits and Vegetables,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,88,88,1,0.529
Vocabulary Animals and Birds,Vocabulary Animals and Birds,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill",90-144,"90, 102, 144",3,0.525
who cooks food at home page 101,Vocabulary Food and Meals,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,93,93,1,0.922
purple brinjal yellow banana brown potato orange carrot white radish page 94,Vocabulary Fruits and Vegetables,6,english_class_6,"Hamara Bharat —, II Neem is a common tree in our country. Discuss in groups of four and fill",93-157,"93, 144, 157",3,0.551
onions brinjals jackfruit mangoes carrots radish page 92,Vocabulary Fruits and Vegetables,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,93,93,1,0.849
drawing special dishes eaten at home page 102,Vocabulary Food and Meals,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,93,93,1,0.824
cabbages guava peas cauliflowers pineapples page 92,Vocabulary Fruits and Vegetables,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,93,93,1,0.816
Vocabulary Greetings and Manners,Vocabulary Greetings and Manners,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",94-128,"94, 101, 128",3,0.541
Vocabulary Seasons and Weather,Vocabulary Seasons and Weather,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,94-101,"94, 101",2,0.478
vegetables are good for health page 97,Vocabulary Fruits and Vegetables,6,english_class_6,"II Neem is a common tree in our country. Discuss in groups of four and fill, Reprint 2025-26",97-125,"97, 125",2,0.653
grandmother grandfather sparrow aunt uncle cousin page 38,Vocabulary Family Members,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,97,97,1,0.47
farm animals song grandpa had farm page 75,Vocabulary Animals and Birds,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,97,97,1,0.458
I have chilla in my box page 98,Vocabulary Food and Meals,6,english_class_6,II Neem is a common tree in our country. Discuss in groups of four and fill,102,102,1,0.526
summer is hot poem page 106,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,104,104,1,0.427
spring flowers bloom children play page 106,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,104,104,1,0.416
hard brown outside soft white inside riddle coconut page 105,Vocabulary Fruits and Vegetables,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",105-135,"105, 135",2,0.501
summer words hot holidays page 114,Vocabulary Seasons and Weather,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",113-134,"113, 134",2,0.502
rain on green grass trees rooftops page 113,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,113,113,1,0.463
rainbow across clear blue sky page 115,Vocabulary Colours and Rainbow,6,english_class_6,Reprint 2025-26,115,115,1,0.54
sun shining yellow glory page 116,Vocabulary Colours and Rainbow,6,english_class_6,Reprint 2025-26,115,115,1,0.537
violet indigo blue green orange red yellow colours page 116,Vocabulary Colours and Rainbow,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",116-157,"116, 139, 157",3,0.399
t is for table phonics page 12,Alphabet and Phonics,6,english_class_6,Reprint 2025-26,118,118,1,0.479
looking at clouds shapes page 117,Vocabulary Colours and Rainbow,6,english_class_6,Reprint 2025-26,118,118,1,0.437
colour of sky during sunrise and sunset page 117,Vocabulary Colours and Rainbow,6,english_class_6,Reprint 2025-26,118,118,1,0.418
dip in pool to stay cool page 106,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,120,120,1,0.722
monsoon words umbrella clouds page 114,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,124,124,1,0.735
monsoon picture raindrops boat house puddle mud umbrella page 110,Vocabulary Seasons and Weather,6,english_class_6,"Hamara Bharat —, Reprint 2025-26",124-154,"124, 128, 141, 154",4,0.597
will you eat with me page 36,Vocabulary Family Members,6,english_class_6,Reprint 2025-26,125,125,1,0.606
I eat with my mouth function page 7,Vocabulary Body Parts,6,english_class_6,Reprint 2025-26,126,126,1,0.356
I am orange fruit riddle answer orange page 105,Vocabulary Fruits and Vegetables,6,english_class_6,Reprint 2025-26,127,127,1,0.536
Prithvi gone to Shimla cold winter page 110,Vocabulary Seasons and Weather,6,english_class_6,Reprint 2025-26,128,128,1,0.687
writing letters A B C D E F practice page 10,Alphabet and Phonics,6,english_class_6,Hamara Bharat —,132,132,1,0.371
parrot quill rat snake tiger uniform van whale animals page 61-62,Vocabulary Animals and Birds,6,english_class_6,Hamara Bharat —,141,141,1,0.425
baby sparrows hatching from eggs page 38,Vocabulary Family Members,6,english_class_6,Hamara Bharat —,141,141,1,0.405
letter sounds k kettle kite key page 29,Alphabet and Phonics,6,english_class_6,Hamara Bharat —,144,144,1,0.471
when did you see rainbow page 117,Vocabulary Colours and Rainbow,6,english_class_6,Hamara Bharat —,157,157,1,0.384
painting flowers with rainbow colours page 115-116,Vocabulary Colours and Rainbow,6,english_class_6,Hamara Bharat —,157,157,1,0.358
